item_id,item_name,amount,transaction_id
1,Classic Milk Tea Mix,60,1
2,Taro Milk Tea Mix,38,2
3,Thai Tea Mix,52,3
4,Matcha Latte Mix,65,4
5,Wintermelon Tea Mix,57,5
6,Mango Green Tea Mix,64,6
7,Strawberry Black Tea Mix,83,7
8,Honeydew Milk Tea Mix,68,8
9,Brown Sugar Milk Tea Mix,32,9
10,Lychee Oolong Tea Mix,74,10
11,Passion Fruit Green Tea Mix,5,11
12,Peach Black Tea Mix,52,12
13,Jasmine Green Tea Mix,76,13
14,Chai Milk Tea Mix,63,14
15,Almond Milk Tea Mix,16,15
16,Grapefruit Green Tea Mix,74,16
17,Rose Oolong Tea Mix,1,17
18,Coconut Milk Tea Mix,71,18
19,Pineapple Black Tea Mix,85,19
20,Honey Lemon Tea Mix,85,20
